#ZIP	ELEC-KWH	ELEC-GJ	POP	HOUSEUNITS	MEDIANINCOME	AREA	TAX-CREDIT	AVGHOMEVALUE	COMM-kWH	COMM-GJ	INST-kWH	INST-GJ
11213	108898924	392036	63767	23142	34046	1.091	0	587100	68922587	248121	13829008	49785
11214	131157455	472167	88630	32212	39822	2.185	0	610600	102589760	369323	8911525	32082
11215	127233902	458042	63488	28077	88450	2.178	20000	906600	144362082	519703	8930605	32150
11216	88796158	319667	54316	23193	40174	0.935	0	644300	72137097	259693	12974036	46707
11217	75842164	273032	35881	16269	74518	0.751	0	870700	116898915	420836	27970751	100695
11218	117532943	423118	75220	25240	50938	1.428	0	572600	76344804	274842	6334531	22804
11219	158666785	571200	92221	26177	34804	1.482	0	701300	133784036	481622	5120453	18435
11220	113058062	407009	99598	29018	37822	1.791	0	621600	186737723	672256	35139626	126502
11221	119416907	429901	78895	28391	36577	1.383	8000	563100	66426428	239135	25302398	91089
11222	61354039	220874	36934	17033	60610	1.524	0	700600	116697349	420111	135483801	487741
11223	150324623	541168	78731	28421	40626	2.074	0	631600	99370934	357735	11533864	41522
11224	102739166	369861	47621	19774	31822	1.544	0	355800	67760837	243939	20550233	73981
11225	98263331	353748	56829	22501	40295	0.884	0	639400	49553589	178393	25279663	91007
11226	141878120	510761	101572	36101	39481	1.289	0	489800	127238016	458057	14141595	50910
11228	75638537	272299	41788	15572	59624	1.47	0	670300	35606671	128184	6102831	21970
11229	161830185	582589	80018	30601	48683	2.167	0	549700	86956080	313042	8337603	30016
11230	167330858	602391	86408	30859	43147	1.84	0	597300	91622516	329841	8266759	29760
11231	75638669	272299	33336	15216	71895	1.422	0	894400	73837472	265815	13803256	49692
11232	31292467	112653	28265	8403	38353	1.283	0	596300	120075258	432271	12777778	46000
11233	111706997	402146	67053	25693	34633	1.348	0	564100	52583488	189300	16822819	60562
11234	190796570	686867	87757	31213	67776	7.547	35000	499600	106799701	384479	15554444	55996
11235	153849816	553859	79132	33886	42492	2.246	8000	536400	133309116	479913	92742125	333872
11236	166148015	598133	93877	31778	61794	3.595	28000	493300	104789452	377242	67636428	243491
11237	57081235	205493	49896	15512	37648	0.98	0	500500	103880020	373968	13794968	49661
11238	95506098	343822	49262	22648	61950	1.106	0	635900	94672136	340819	26002264	93609
11239	3668967	13208	13393	6280	23941	0.571	0	379200	19510618	70238	2198062	7913
11354	100096477	360348	54878	20120	48771	2.167	0	356200	204579202	736486	20474055	73706
11355	118562745	426826	85871	28837	44587	1.735	0	496700	135540973	487947	15474926	55709
11356	41685111	150066	23438	7751	60981	1.571	0	559900	61220639	220394	38385544	138188
11357	107428080	386741	39150	15149	75922	2.802	26000	598500	68012008	244843	4209827	15155
11358	75254768	270917	37546	13380	68079	1.949	0	627600	44516883	160261	3059321	11014
11360	67287928	242236	18884	8758	79553	1.425	0	506400	28349554	102058	2415190	8695
11361	60850806	219063	28606	10645	72599	1.758	0	600200	55879916	201168	4363895	15710
11362	48895453	176024	17823	7020	83566	2.517	0	524200	32139618	115702	4363822	15710
11363	23054760	82998	6988	2669	91728	0.869	0	742800	5683395	20460	4295247	15463
11364	74847097	269449	34555	13287	73010	2.466	0	500200	24519915	88272	19263228	69348
11365	107243783	386077	42252	15463	57486	2.497	0	587400	47336379	170411	8518194	30665
11366	29540643	106346	13532	4519	77244	1.095	0	623500	21506888	77425	3477832	12521
11367	76525126	275491	41047	14972	50578	2.379	0	362900	33756524	121523	49062569	176625
11368	129805169	467299	109931	28861	46041	2.632	6000	515100	145428932	523544	28139591	101303
11369	54672856	196822	38615	11194	56307	1.068	0	517700	40953646	147433	3369091	12129
11370	44003844	158414	39688	9415	57334	1.423	0	564300	33768026	121565	141794234	510459
11372	93753372	337513	66636	23906	48400	0.737	0	253300	112259887	404135	10252616	36910
11373	126241568	454470	100820	31348	45585	1.527	0	509700	144846777	521448	62599644	225359
11374	85687998	308476	43600	19311	54339	0.934	0	314800	92101581	331566	4084007	14702
11375	157158497	565771	68733	32547	72394	1.98	0	368300	132260227	476137	6778334	24402
11377	119921966	431718	89830	31412	49415	2.547	0	410700	109956315	395842	21987255	79154
11378	63496590	228588	34981	12762	59472	2.554	0	554500	131624915	473850	42947344	154611
11379	71530778	257511	34821	13881	63511	2.075	0	577300	43587456	156915	8918094	32104
11385	151158529	544171	98592	34843	50811	3.613	14000	538000	151099146	543957	20433332	73560
11411	38114951	137214	18556	5893	82703	1.169	16000	421400	9226367	33215	1809819	6516
11412	64374311	231748	34882	10691	69796	1.646	30000	420100	17814365	64132	3741416	13469
11413	74932066	269755	38912	12227	77352	3.1	16000	433800	46377396	166959	7211210	25960
11414	76067385	273843	26148	10695	65049	2.3	0	519500	29358304	105690	3879250	13965
11415	32887528	118394	19341	8614	55515	0.568	0	305100	30783865	110822	15644031	56319
11416	33892735	122014	24861	7227	53821	0.666	0	477700	25856170	93082	2429564	8747
11417	47739022	171861	28967	9230	59810	1.119	0	471700	36537732	131536	9461456	34062
11418	52415040	188694	36256	11031	57899	1.633	9000	467300	70373233	253344	8887361	31995
11419	61733887	222242	47211	12688	54829	1.129	10000	462800	36992579	133173	5550916	19983
11420	69659533	250774	44354	12918	61587	2.078	8000	462700	33739167	121461	467196572	1681907
11421	59616365	214618	39127	11845	55120	1.288	11000	443900	24272064	87379	6825863	24574
11422	56987738	205156	30425	9408	82525	1.969	33000	436800	17421706	62718	4973562	17905
11423	51829801	186587	29987	9559	57751	1.411	12000	435000	28060324	101017	3632075	13075
11426	36236020	130450	17590	6056	78151	1.349	0	487800	16885809	60789	7912004	28483
11427	41354545	148877	23593	7683	69753	1.576	0	460400	12608072	45389	27795993	100066
11428	31545662	113565	19168	5540	73794	0.833	0	438600	16941328	60989	5099125	18357
11429	42678596	153643	25105	7290	75587	1.301	21000	420500	17775666	63992	4446559	16008
11432	92322401	332361	60809	18448	49929	2.149	17000	544200	168793625	607657	61923070	222923
11433	54164881	194994	32687	10230	41274	1.552	0	393100	46352068	166868	28268925	101768
11434	85756918	308725	59129	20244	57027	3.239	26000	395600	81891555	294809	22277277	80198
11435	77593976	279339	53687	17724	54086	1.515	6000	380400	69519917	250272	35669654	128411
11436	30601738	110166	17949	5353	58925	0.788	13000	383900	18507555	66627	5216570	18780
11693	6828738	24583	11916	4703	50443	0.997	0	324300	1338018	4817	359361	1294
SUMDIVELEC	1	277.778	1998.44	5253.7	0.0926378	5.73109e+07	26119.1	0.00937246	0.604755	167.988	2.87796	799.433
