#ZIP	ELEC-KWH	ELEC-GJ	POP	HOUSEUNITS	MEDIANINCOME
11215	127233902	458042	63488	30073	88450
11216	88796158	319667	54316	25964	40174
11217	75842164	273032	35881	17581	74518
11218	117532943	423118	75220	26598	50938
11219	158666785	571200	92221	28693	34804
11220	113058062	407009	99598	31045	37822
11221	119416907	429901	78895	31784	36577
11222	61354039	220874	36934	18756	60610
11223	150324623	541168	78731	32407	40626
11224	102739166	369861	47621	20768	31822
11225	98263331	353748	56829	23588	40295
11226	141878120	510761	101572	37745	39481
11228	75638537	272299	41788	18234	59624
11229	161830185	582589	80018	34885	48683
11230	167330858	602391	86408	34028	43147
11231	75638669	272299	33336	16149	71895
11232	31292467	112653	28265	8980	38353
11233	111706997	402146	67053	29074	34633
11234	190796570	686867	87757	33714	67776
11235	153849816	553859	79132	37619	42492
11236	166148015	598133	93877	33313	61794
11237	57081235	205493	49896	16724	37648
11238	95506098	343822	49262	24525	61950
11239	3668967	13208	13393	6335	23941
11354	100096477	360348	54878	22201	48771
11355	118562745	426826	85871	30681	44587
11356	41685111	150066	23438	8303	60981
11357	107428080	386741	39150	15924	75922
11358	75254768	270917	37546	14068	68079
11360	67287928	242236	18884	9308	79553
11361	60850806	219063	28606	11195	72599
11362	48895453	176024	17823	7347	83566
11363	23054760	82998	6988	2797	91728
11364	74847097	269449	34555	13835	73010
11365	107243783	386077	42252	16098	57486
11366	29540643	106346	13532	4723	77244
11367	76525126	275491	41047	15588	50578
11368	129805169	467299	109931	30978	46041
11369	54672856	196822	38615	12184	56307
11370	44003844	158414	39688	10244	57334
11372	93753372	337513	66636	25100	48400
11373	126241568	454470	100820	33227	45585
11374	85687998	308476	43600	20225	54339
11375	157158497	565771	68733	34631	72394
11377	119921966	431718	89830	33545	49415
11378	63496590	228588	34981	13668	59472
11379	71530778	257511	34821	14649	63511
11385	151158529	544171	98592	37251	50811
11411	38114951	137214	18556	6164	82703
11412	64374311	231748	34882	11526	69796
11413	74932066	269755	38912	12975	77352
11414	76067385	273843	26148	11330	65049
11415	32887528	118394	19341	9206	55515
11416	33892735	122014	24861	7806	53821
11417	47739022	171861	28967	9714	59810
11418	52415040	188694	36256	11854	57899
11419	61733887	222242	47211	13454	54829
11420	69659533	250774	44354	13743	61587
11421	59616365	214618	39127	12695	55120
11422	56987738	205156	30425	9900	82525
11423	51829801	186587	29987	10165	57751
11426	36236020	130450	17590	6389	78151
11427	41354545	148877	23593	7958	69753
11428	31545662	113565	19168	5780	73794
11429	42678596	153643	25105	7791	75587
11432	92322401	332361	60809	19518	49929
11433	54164881	194994	32687	11483	41274
11434	85756918	308725	59129	21681	57027
11435	77593976	279339	53687	18963	54086
11436	30601738	110166	17949	5924	58925
11693	6828738	24583	11916	5170	50443
